valid_date,latitude,longitude,region_id,rain_observed,temp_observed,mslp_observed,rh_observed,wind_observed,cape_observed
2022-04-05,28.21,86.81,NE,5.46,30.53,1008.62,43.07,6.6,1046.6
2024-08-30,12.41,73.06,WG,27.47,27.86,998.44,91.03,18.24,3221.3
2021-01-22,21.24,74.4,CI,1.44,28.49,1006.69,67.86,7.14,526.2
2021-09-10,10.18,77.2,SP,2.25,31.09,1013.31,42.4,4.72,993.4
2023-01-18,11.83,77.99,SP,0.25,25.18,1007.35,73.66,6.0,459.3
2023-05-07,14.02,84.71,EC,5.86,29.12,1009.67,63.34,3.56,589.3
2022-04-20,30.62,71.16,NW,1.23,42.24,1003.36,19.08,8.25,1313.1
2023-12-19,34.79,73.46,NW,19.5,12.07,1011.57,79.05,12.06,634.2
2022-05-26,23.82,96.37,NE,2.98,26.53,1006.93,58.34,5.9,1172.1
2022-12-01,34.99,77.83,NW,3.06,25.11,1010.97,69.86,4.29,510.9
2023-09-03,18.61,83.4,EC,0.83,27.85,1012.27,70.09,3.15,475.5
2021-07-09,10.25,78.65,SP,10.55,28.37,1010.41,67.45,5.11,648.8
2023-08-16,25.85,80.27,CI,155.66,26.91,995.45,87.2,16.89,2890.0
2022-11-18,25.05,77.29,CI,10.72,24.91,1009.64,53.19,3.89,497.8
2023-08-16,11.26,79.98,SP,2.58,25.2,1012.31,74.87,5.53,934.8
2022-07-17,17.08,76.92,WG,17.64,24.68,1013.29,63.98,4.57,373.4
2024-06-21,14.2,77.47,SP,7.75,32.65,1007.23,59.31,6.06,699.1
2023-04-12,22.25,83.01,CI,4.74,27.19,1013.21,68.41,7.8,454.7
2024-02-29,25.69,88.06,NE,5.66,23.21,1012.33,51.9,7.92,1057.1
2022-10-09,15.79,84.65,EC,7.73,27.42,1010.08,46.99,3.8,561.0
2021-01-21,8.77,79.09,SP,2.83,31.85,1014.16,67.93,6.03,1107.7
2023-04-21,9.31,74.32,WG,0.48,24.08,1012.75,71.69,4.92,304.2
2021-06-16,27.84,90.61,NE,2.72,30.43,1011.27,47.33,6.41,778.7
2024-07-21,14.74,76.88,SP,0.04,22.31,1009.94,45.74,7.53,393.9
2022-01-23,29.14,87.51,NE,2.58,29.88,1014.41,44.65,6.89,1163.3
2022-08-24,8.31,79.8,SP,3.55,33.74,1004.08,63.74,8.98,2154.9
2021-11-12,27.39,87.78,NE,6.3,22.12,1006.16,63.36,7.2,624.1
2021-01-14,36.8,73.02,NW,31.0,12.07,1012.55,66.4,8.86,1096.3
2021-08-30,29.08,91.06,NE,3.08,30.27,1004.84,73.14,8.59,1476.7
2023-02-16,30.13,72.49,NW,8.76,22.41,1014.14,40.6,4.75,1103.4
2024-10-01,20.68,79.34,CI,7.89,22.23,1008.19,67.06,6.4,1147.1
2022-07-19,29.88,68.37,NW,0.99,25.37,1010.46,74.47,3.2,460.5
2023-06-17,23.21,87.56,NE,6.96,31.43,1009.82,57.28,4.28,1166.2
2024-09-25,20.54,85.39,EC,2.87,25.77,1010.22,47.48,3.98,840.6
2021-04-02,19.4,88.61,EC,8.37,30.52,1011.09,62.36,5.82,1087.4
2024-10-22,23.15,83.83,CI,0.79,26.26,1009.92,70.48,7.5,830.5
2023-08-14,23.65,87.24,NE,7.69,22.68,1011.88,55.81,3.82,845.8
2024-12-22,29.24,72.71,NW,17.84,12.82,1008.11,75.74,12.46,637.7
2022-05-24,20.85,85.04,EC,120.57,26.29,976.39,96.83,36.91,2994.7
2023-02-15,10.34,79.08,SP,0.08,26.23,1007.4,67.51,7.66,628.6
2021-02-04,14.07,73.23,WG,6.05,32.2,1008.52,60.99,7.04,1007.3
2021-07-25,25.9,95.94,NE,18.57,33.31,1006.87,69.59,7.44,1357.7
2024-01-10,14.74,78.23,SP,8.73,30.94,1014.05,42.47,6.18,948.4
2024-11-12,11.02,75.48,SP,137.46,27.65,971.68,99.89,47.08,4073.1
2023-10-23,24.99,94.02,NE,10.9,31.26,1006.67,60.12,5.35,478.9
2023-10-19,12.32,73.56,WG,0.91,24.87,1010.26,48.97,4.06,793.8
2024-11-14,21.25,87.39,EC,5.34,24.34,1007.4,64.7,4.52,987.1
2022-07-20,15.66,73.12,WG,25.52,30.76,1006.15,68.35,5.41,410.5
2024-02-04,19.16,75.03,CI,0.41,30.33,1013.81,62.13,3.94,912.8
2022-12-04,32.01,69.16,NW,5.0,23.84,1006.04,72.8,3.32,974.8
2022-02-06,34.95,77.93,NW,127.24,15.05,1004.39,81.39,12.9,906.1
2022-12-31,10.93,77.5,SP,2.41,27.92,1008.11,55.97,4.92,918.9
2021-06-11,18.83,88.43,EC,9.41,24.98,1014.82,64.45,5.56,454.2
2021-07-21,18.73,72.76,WG,141.11,28.91,999.59,97.81,11.18,2859.7
2023-09-23,9.35,79.15,SP,9.57,29.27,1008.03,82.27,10.24,1538.3
2021-09-27,26.86,86.6,NE,14.01,30.3,1004.01,63.84,8.23,1370.1
2023-03-27,12.02,79.29,SP,0.27,25.04,1006.56,70.05,3.89,1059.4
2024-07-18,22.86,95.46,NE,2.97,32.95,1010.03,50.01,3.6,873.2
2022-04-01,21.45,94.39,NE,6.64,31.33,1006.98,61.23,6.2,920.8
2024-06-29,22.93,77.15,CI,7.19,22.76,1011.44,70.38,3.83,355.9
2023-10-14,23.77,81.82,CI,0.65,30.94,1009.42,70.41,4.39,697.5
2021-10-23,28.94,89.41,NE,6.12,28.76,1011.35,42.12,6.89,1015.5
2022-12-21,18.55,85.42,EC,67.51,26.42,976.59,90.13,42.35,3421.6
2021-12-04,22.2,82.9,CI,1.16,23.39,1012.82,73.08,3.82,662.1
2023-05-29,18.03,76.82,CI,5.3,25.52,1007.76,60.27,7.16,877.0
2023-12-13,31.0,69.78,NW,8.29,24.14,1010.14,43.95,4.64,517.3
2023-03-03,15.26,78.56,SP,1.54,31.28,1010.61,62.83,3.28,426.8
2021-08-05,30.21,76.15,NW,2.53,30.66,1012.32,66.57,6.21,823.5
2023-02-03,15.96,85.03,EC,2.99,27.45,1007.35,74.05,6.21,474.8
2021-07-07,18.02,77.66,CI,10.37,31.2,1012.78,44.05,3.09,937.4
2022-01-15,19.11,80.9,CI,11.02,24.25,1012.05,53.1,5.44,752.5
2022-05-08,13.75,73.86,WG,1.19,26.17,1014.95,66.22,3.78,331.1
2023-12-01,16.15,81.89,EC,222.3,27.38,975.13,91.79,26.74,3702.7
2024-03-26,15.4,75.3,SP,7.64,23.14,1010.98,48.14,6.97,929.7
2021-01-15,14.92,77.81,SP,1.44,28.89,1012.36,58.92,5.67,407.6
2021-03-06,12.95,76.66,SP,0.2,23.49,1008.21,57.27,4.79,941.6
2022-06-05,21.63,82.54,EC,0.59,26.48,1012.52,46.45,4.58,750.6
2024-09-29,15.07,76.97,WG,2.1,28.1,1010.15,42.33,3.8,839.1
2024-02-27,18.57,74.91,WG,1.22,22.05,1011.66,48.13,7.09,653.3
2022-10-10,36.87,75.01,NW,12.98,29.86,1010.03,63.63,7.22,521.7
2023-12-23,13.3,83.65,EC,11.81,31.74,1006.54,56.49,3.56,1097.5
2024-03-08,14.68,83.1,EC,2.78,24.64,1014.44,59.67,7.64,715.4
2022-08-16,17.13,75.13,WG,18.64,32.81,1006.18,54.22,7.75,1032.8
2022-01-27,21.32,95.53,NE,12.97,24.33,1007.81,72.77,3.42,1151.7
2022-02-23,23.52,96.96,NE,1.55,22.91,1011.1,46.58,4.95,452.0
2021-10-16,36.4,77.41,NW,5.66,28.14,1007.98,50.2,6.69,377.9
2022-01-14,27.89,87.65,NE,2.06,26.98,1009.71,69.24,7.9,462.4
2021-08-19,25.53,87.69,NE,1.32,22.67,1013.85,70.78,4.43,596.9
2023-10-15,23.21,92.33,NE,2.51,29.3,1014.14,68.04,4.79,1175.1
2021-02-10,18.33,83.69,CI,8.5,30.19,1014.64,55.07,3.21,1191.9
2023-11-18,35.94,71.81,NW,20.32,32.29,1010.26,45.76,3.98,725.9
2021-05-15,14.19,74.6,WG,3.75,29.43,1009.55,73.72,6.24,666.6
2021-07-20,28.5,93.26,NE,9.41,29.59,1009.31,56.63,6.21,873.8
2023-02-19,10.22,77.46,SP,4.12,23.93,1008.33,71.98,5.48,989.9
2023-07-19,21.43,83.59,CI,2.88,22.49,1007.43,53.75,6.98,1134.2
2023-11-23,22.49,86.07,NE,0.76,32.08,1008.71,63.11,4.02,346.3
2023-12-08,25.04,82.97,CI,2.4,32.49,1009.78,49.54,4.63,1167.6
2022-05-18,35.33,73.11,NW,4.1,24.11,1011.74,47.85,6.58,914.2
2022-02-11,13.28,78.1,SP,3.7,32.5,1009.46,52.64,4.82,333.9
2023-03-16,8.56,78.28,SP,0.77,24.6,1013.93,41.97,4.83,497.5
2021-04-09,8.11,76.79,SP,2.37,29.1,1006.15,71.28,6.18,301.2
2022-11-15,28.92,88.65,NE,1.46,29.48,1014.67,55.57,4.12,327.2
2022-12-27,25.52,76.5,CI,0.35,22.65,1006.28,59.2,7.23,611.4
2023-08-19,10.52,78.46,SP,0.66,25.84,1006.01,73.31,5.29,963.7
2022-09-05,19.38,84.51,EC,83.11,30.34,990.63,91.53,15.57,1906.5
2022-10-05,20.7,80.36,EC,1.72,31.82,1006.66,54.78,7.02,451.6
2023-10-26,25.38,75.96,CI,1.23,26.81,1013.36,58.3,5.89,972.8
2024-05-26,28.52,89.81,NE,0.67,32.34,1013.61,56.6,6.2,1067.5
2022-05-18,28.08,93.06,NE,12.22,25.59,1011.68,49.77,7.6,352.1
2023-02-06,26.29,77.18,NW,0.1,28.5,1006.74,43.51,7.47,802.8
2022-02-02,27.19,70.44,NW,2.97,24.86,1013.54,59.95,3.16,1084.1
2023-05-21,14.51,75.58,SP,1.31,27.92,1012.44,58.69,3.95,885.1
2023-03-06,10.66,74.77,WG,18.57,29.06,1008.38,59.19,4.61,568.4
2022-01-28,34.8,69.47,NW,7.53,27.56,1011.44,44.11,7.61,937.9
2021-07-26,25.66,93.53,NE,0.93,28.37,1007.21,50.27,7.62,432.3
2023-11-05,18.33,76.71,WG,6.21,29.2,1006.83,64.76,5.38,750.7
2023-06-11,34.2,74.53,NW,13.63,22.06,1011.49,61.16,4.95,931.6
2023-05-14,21.47,75.12,CI,0.34,47.41,1001.27,19.17,6.12,968.2
2023-01-13,18.81,88.93,EC,16.11,29.27,1007.23,58.52,6.05,1042.9
2024-06-18,33.58,68.17,NW,6.49,31.28,1007.75,67.29,5.89,1165.2
2022-07-18,30.45,74.15,NW,9.63,33.72,1008.6,60.64,13.32,2550.4
2023-10-18,23.52,81.2,CI,9.03,32.77,1007.63,74.11,5.14,724.1
2021-04-06,25.74,87.68,NE,2.52,22.17,1008.31,55.74,4.35,702.6
2022-04-30,15.54,78.83,SP,18.22,23.62,1011.98,74.6,3.02,1052.2
2024-12-01,19.89,77.22,CI,8.92,22.93,1014.3,44.92,7.78,692.6
2021-08-19,15.38,79.88,SP,9.53,25.79,1013.68,69.28,6.12,566.6
2023-01-19,29.27,68.38,NW,12.77,10.77,1012.56,89.9,13.55,524.9
2024-04-09,21.41,88.41,NE,1.93,29.41,1012.46,48.27,3.82,871.0
2022-06-25,15.55,75.13,WG,1.23,29.54,1010.61,70.82,6.42,908.3
2023-11-26,32.24,75.17,NW,14.26,15.24,1006.06,83.34,14.5,1116.6
2022-06-09,18.15,75.05,CI,60.75,29.98,993.38,92.24,23.31,3715.2
2024-03-29,12.31,73.2,WG,9.95,30.37,1008.38,60.78,5.39,336.9
2024-06-20,11.83,85.77,EC,2.1,31.72,1014.39,62.28,7.07,712.9
2024-01-15,17.78,75.89,WG,12.46,24.06,1013.04,66.41,4.06,769.5
2022-08-01,24.54,80.66,CI,5.69,25.55,1010.79,46.21,6.12,334.4
2022-11-13,16.82,73.72,WG,1.21,22.78,1011.21,66.58,6.91,549.0
2022-07-11,25.94,75.83,CI,17.64,27.92,988.36,91.44,18.54,3670.2
2023-10-10,26.79,70.89,NW,16.34,29.83,1008.52,65.36,5.99,567.1
2022-10-08,29.29,96.86,NE,2.06,24.32,1014.82,40.81,7.52,994.5
2023-03-07,19.74,85.66,EC,11.72,27.98,1006.47,59.05,4.43,308.8
2023-11-18,25.42,96.65,NE,6.43,28.81,1011.32,53.67,7.02,608.8
2024-09-25,26.91,96.34,NE,33.22,28.64,1013.61,62.55,6.37,1056.9
2024-09-16,23.69,89.01,NE,1.4,29.05,1003.55,78.61,12.16,1239.5
2024-10-03,24.84,75.5,CI,23.96,22.66,1010.43,58.76,6.06,1168.0
2024-06-08,25.57,79.07,CI,6.02,23.75,1006.68,57.97,5.2,541.4
2021-07-09,21.19,83.03,EC,122.84,28.2,993.85,96.66,20.33,3476.5
2024-06-02,23.73,78.83,CI,7.19,26.38,1006.67,73.5,6.15,1071.0
2024-11-09,13.01,77.77,SP,0.19,27.34,1010.43,65.4,3.33,390.3
2024-11-01,25.74,80.92,CI,0.77,22.6,1011.53,70.6,5.35,1027.9
2024-07-30,20.01,83.1,CI,103.01,27.99,989.58,92.46,18.24,2005.7
2022-09-25,20.35,77.72,CI,3.98,24.62,1012.95,71.67,6.68,563.7
2022-09-20,25.33,77.0,NW,4.47,23.13,1009.1,59.72,4.99,641.3
2023-08-31,14.15,82.33,EC,147.1,30.56,991.9,94.92,18.8,2720.7
2024-07-06,15.36,79.43,SP,1.76,33.84,1003.13,74.08,9.24,1873.0
2024-10-14,19.13,81.69,CI,0.82,28.03,1008.43,58.8,3.97,1055.6
2022-12-11,21.04,80.71,EC,5.04,30.62,1010.45,72.53,6.76,334.3
2024-12-05,17.9,74.96,WG,0.45,24.46,1014.95,54.78,3.67,622.4
2022-10-11,32.7,72.93,NW,0.93,32.78,1009.21,49.65,6.95,323.0
2021-11-14,23.58,74.34,CI,12.18,32.41,1009.28,71.54,5.13,562.7
2024-06-02,14.1,75.18,SP,10.46,26.48,1011.05,47.6,3.35,845.9
2024-06-11,29.92,69.51,NW,11.61,31.0,1013.41,57.97,4.89,1177.9
2022-11-15,14.59,76.73,SP,8.37,32.15,1009.87,74.07,4.87,916.0
2022-10-26,29.9,72.29,NW,10.84,25.24,1013.74,57.82,5.81,1153.7
2024-10-29,17.27,74.67,WG,3.82,23.56,1010.76,68.58,6.89,841.9
2024-06-10,19.68,80.66,EC,3.13,23.71,1006.82,45.26,4.13,600.3
2024-02-11,26.49,73.52,NW,45.18,12.4,1004.23,86.8,15.94,1171.3
2022-03-18,29.05,85.9,NE,3.06,26.67,1010.7,63.26,4.39,889.4
2022-07-18,8.52,73.2,WG,197.94,25.55,1004.97,91.93,19.93,3100.1
2024-07-15,26.45,89.79,NE,0.58,26.25,1012.13,52.59,7.81,1071.5
2024-11-10,17.91,72.82,WG,3.67,23.37,1010.0,64.81,4.36,1052.6
2024-11-11,22.67,88.6,NE,4.82,32.36,1014.35,51.39,4.59,951.0
2024-02-11,26.33,93.22,NE,1.94,26.89,1008.79,69.13,6.23,1012.3
2023-08-10,8.99,80.19,SP,16.76,26.54,1014.02,41.25,4.82,366.5
2024-01-10,28.43,75.13,NW,15.6,24.62,1014.06,41.96,3.18,881.3
2022-11-30,30.81,70.23,NW,0.01,24.59,1013.5,53.45,5.09,398.3
2021-04-23,18.15,76.18,WG,8.98,27.23,1008.7,68.98,6.25,673.6
2021-01-02,15.36,85.3,EC,0.71,27.55,1014.05,71.28,4.91,893.1
2022-10-04,10.06,78.79,SP,10.48,30.41,1012.52,57.54,6.49,1152.7
2021-08-08,28.02,76.44,NW,0.51,27.19,1013.28,65.24,4.48,829.4
2023-05-05,26.83,68.15,NW,3.91,22.8,1009.59,48.78,3.77,609.3
2024-06-02,10.15,76.05,SP,4.33,32.3,1007.81,69.24,4.35,1022.5
2022-01-20,22.07,76.04,CI,15.41,22.18,1010.81,66.71,4.57,1061.4
2024-11-27,14.11,76.33,SP,0.29,29.61,1006.37,52.64,3.26,339.0
2024-02-28,33.19,73.78,NW,1.57,26.15,1009.16,54.12,3.43,845.3
2023-12-13,21.85,89.0,EC,8.58,25.83,1014.92,53.35,6.71,565.7
2022-12-31,24.96,81.6,CI,6.89,30.92,1008.24,56.12,7.03,938.5
2024-12-10,24.28,94.04,NE,0.01,22.35,1012.78,55.88,5.56,1168.2
2021-09-04,15.65,75.13,SP,0.2,23.45,1007.7,64.94,3.91,775.8
2023-04-16,25.57,87.62,NE,11.01,31.41,1007.89,71.4,7.97,1176.6
2021-07-22,22.46,78.66,CI,152.75,30.46,994.27,90.72,15.35,2431.0
2024-04-22,22.61,79.51,CI,1.52,48.13,998.61,19.07,9.51,1113.9
2021-05-03,25.68,79.52,CI,2.56,29.77,1008.17,55.59,4.7,1150.1
2022-02-05,18.15,73.94,WG,28.76,23.81,1014.16,59.99,4.71,951.3
2023-02-06,11.5,77.59,SP,2.82,27.29,1008.99,42.81,5.17,523.1
2021-10-21,14.07,83.42,EC,1.59,22.21,1008.11,50.58,7.73,1109.7
2021-10-07,17.58,85.22,EC,138.95,26.13,974.09,98.31,39.23,3338.6
2023-06-03,26.41,89.22,NE,1.93,27.34,1007.89,47.43,6.99,474.1
2021-07-17,23.68,92.34,NE,3.58,32.02,1010.8,61.38,4.53,1106.0
2023-09-09,22.13,88.04,NE,27.57,31.65,1005.55,60.97,6.25,1630.8
2023-01-22,8.34,75.4,SP,1.86,31.32,1010.36,47.05,6.75,902.8
2021-05-24,27.16,68.2,NW,0.22,47.87,1003.91,32.55,6.69,1360.3
2022-09-01,23.09,92.86,NE,9.29,26.67,1009.24,48.94,6.69,1168.1
2024-05-09,18.49,78.37,CI,1.87,46.72,1003.52,23.53,7.03,690.4
2024-02-22,28.76,94.5,NE,8.75,26.83,1010.7,74.07,3.57,757.0
2021-07-06,20.44,83.25,CI,0.97,27.85,1013.17,68.64,7.49,1143.3
2024-09-11,11.96,72.83,WG,11.06,30.22,1006.66,53.43,4.42,1014.5
2022-04-09,36.92,76.7,NW,4.17,25.39,1009.81,66.55,5.88,655.2
2024-10-04,30.06,74.66,NW,1.07,23.44,1012.49,41.17,5.19,956.9
2022-10-22,13.37,76.07,SP,72.29,27.46,982.69,98.8,30.61,3908.5
2023-02-03,9.6,77.58,SP,3.69,28.15,1009.77,70.55,3.9,1000.6
2023-08-13,21.03,80.09,EC,4.76,22.84,1007.44,56.08,5.41,958.9
2022-02-07,17.39,72.76,WG,2.1,24.3,1010.51,66.48,5.72,1014.6
2024-10-01,11.83,78.51,SP,15.09,29.2,1012.02,52.12,3.5,933.9
2021-05-27,23.49,74.58,CI,0.33,48.39,998.81,21.41,6.46,637.4
2024-03-17,13.02,75.13,WG,9.62,25.65,1008.85,74.95,4.45,389.3
2023-05-14,24.86,69.35,NW,0.77,30.67,1006.43,53.86,7.51,813.4
2022-05-04,23.31,79.22,CI,12.4,32.1,1006.68,41.95,4.49,1094.8
2023-07-18,9.94,74.91,WG,87.09,26.52,999.28,99.87,13.04,3890.5
2022-07-05,35.87,68.16,NW,5.13,29.37,1007.08,43.64,4.33,621.8
2021-12-04,13.14,75.41,SP,1.1,28.79,1012.23,41.96,7.33,1089.4
2023-05-22,18.05,75.51,CI,3.32,31.86,1007.17,57.84,6.79,542.1
2022-10-03,21.38,82.02,CI,0.11,29.34,1013.31,47.62,7.56,788.2
2022-04-18,27.66,74.26,NW,0.67,44.44,999.88,29.3,5.88,1347.3
2021-05-31,21.29,76.34,CI,0.54,48.38,1001.23,24.2,9.58,937.7
2024-12-09,12.11,79.39,SP,159.68,29.24,985.53,93.87,31.96,2801.8
2024-08-14,14.66,79.66,SP,12.83,22.79,1008.99,74.04,5.1,1153.0
2021-09-20,10.71,79.36,SP,1.0,29.24,1008.75,72.93,5.15,350.5
2021-05-24,26.76,75.38,NW,12.54,25.74,1014.98,41.04,5.36,521.4
2021-12-12,29.06,85.16,NE,2.91,32.8,1014.4,61.37,7.46,1154.2
2022-09-16,24.74,92.77,NE,1.35,23.15,1008.39,58.73,4.21,1140.4
2023-10-14,23.61,75.76,CI,1.13,23.99,1007.36,55.26,3.23,912.1
2023-05-31,15.78,78.38,SP,16.26,24.74,1007.62,42.76,5.01,520.7
2021-01-02,19.31,74.21,CI,4.41,31.56,1010.29,67.24,6.26,308.7
2023-06-16,34.18,68.8,NW,7.48,29.54,1007.57,64.83,7.97,564.6
2024-08-20,19.13,79.75,CI,11.4,22.42,1007.84,67.24,5.04,1113.5
2021-09-11,17.64,86.18,EC,90.75,30.71,993.69,94.6,17.13,3117.5
2022-03-29,24.34,94.29,NE,0.48,25.38,1013.51,50.37,3.98,479.9
2023-11-27,25.79,76.71,CI,0.41,31.05,1010.48,46.8,6.26,1019.1
2024-03-29,23.62,83.28,CI,5.73,28.18,1011.61,60.06,4.1,888.2
2023-10-12,16.24,75.56,WG,10.43,30.52,1006.71,53.92,4.85,1131.1
2021-01-09,19.79,79.35,CI,3.84,29.25,1014.64,45.63,4.81,866.2
2024-06-10,17.19,86.3,EC,5.36,27.61,1012.85,64.36,6.29,943.8
2024-01-28,29.47,85.4,NE,1.42,30.6,1012.19,63.26,6.53,520.0
2023-03-27,8.78,72.85,WG,8.84,25.09,1009.4,72.31,3.57,455.2
2021-07-27,33.66,69.36,NW,4.03,29.11,1008.3,69.42,9.69,1791.9
2024-02-29,32.09,71.25,NW,2.83,30.88,1013.49,56.87,4.22,687.7
2022-02-08,24.89,87.59,NE,1.66,26.36,1007.1,69.45,5.58,518.5
2021-06-01,35.26,73.86,NW,11.17,30.56,1007.04,75.5,7.87,1354.6
2021-02-23,21.39,85.17,EC,0.69,22.81,1009.11,52.42,7.89,320.3
2024-02-18,18.99,75.71,CI,4.29,28.96,1007.31,73.2,7.06,498.8
2022-09-20,29.41,93.71,NE,1.34,25.21,1008.78,47.98,4.29,764.9
2022-08-10,8.59,75.67,WG,106.94,25.69,998.25,97.41,19.28,3992.9
2024-12-14,21.3,77.07,CI,2.91,24.21,1014.76,47.42,5.7,1019.4
2024-12-16,26.0,76.4,NW,0.67,22.31,1007.77,55.94,3.08,688.1
2021-04-14,24.83,70.9,NW,11.37,23.78,1010.38,42.49,5.31,732.2
2021-09-11,11.68,73.22,WG,2.75,25.3,1014.74,48.65,6.38,894.9
2024-06-04,16.59,80.11,EC,78.62,28.11,990.87,88.1,21.07,2298.2
2024-02-10,11.61,76.7,WG,0.82,32.92,1009.7,57.13,5.16,384.0
2022-05-25,23.64,89.33,NE,4.41,24.48,1013.2,64.09,5.72,1179.8
2021-04-09,13.68,75.03,WG,12.08,30.37,1006.11,47.57,6.6,550.5
2021-06-02,34.51,69.9,NW,5.36,25.89,1010.88,47.73,7.39,865.0
2023-07-03,20.59,86.82,EC,62.2,29.43,989.02,91.16,13.04,1946.7
2023-05-28,18.95,80.78,EC,9.36,29.93,1006.47,69.49,4.41,889.4
2021-12-04,8.17,78.27,SP,7.15,29.54,1011.22,43.96,3.56,426.9
2023-04-02,18.36,75.13,WG,1.42,32.13,1007.38,74.6,3.02,999.0
2024-04-01,22.81,86.09,NE,6.51,31.3,1014.77,51.67,3.44,516.6
2023-08-15,33.09,75.22,NW,4.01,23.09,1014.68,58.11,4.63,1115.7
2021-06-10,19.38,74.28,CI,15.96,28.75,1014.69,72.78,6.46,751.6
2023-03-12,15.49,85.24,EC,17.02,25.19,1010.9,74.84,7.59,640.9
2022-02-02,16.47,76.14,WG,4.59,31.63,1012.68,56.83,7.95,659.0
2024-07-24,12.88,75.61,SP,23.44,28.57,1007.29,63.15,10.04,2150.1
2023-03-27,26.8,96.81,NE,14.36,26.51,1014.49,70.4,5.65,708.2
2024-11-16,28.7,95.46,NE,4.37,28.44,1006.89,67.58,7.71,741.6
2024-03-04,27.93,75.51,NW,2.34,22.68,1007.1,74.31,3.68,372.5
2024-05-03,20.36,86.1,EC,0.4,27.74,1011.71,70.42,4.25,1134.4
2022-02-05,27.26,77.54,NW,1.06,29.11,1011.8,42.55,4.75,314.4
2022-10-02,11.61,75.71,SP,10.7,26.86,1012.28,46.96,3.91,933.8
2023-11-23,18.88,80.48,CI,0.92,29.33,1012.05,67.33,6.83,665.0
2022-11-19,21.5,74.94,CI,2.96,30.96,1011.81,66.61,6.78,612.3
2022-04-05,23.92,81.99,CI,5.71,28.28,1008.11,40.29,3.5,331.1
2023-08-13,27.17,87.43,NE,2.37,25.29,1013.79,44.37,3.93,858.0
2022-04-15,18.59,80.1,EC,30.0,27.16,1012.86,49.46,6.61,505.5
2024-10-30,27.97,71.99,NW,17.58,14.82,1006.59,89.46,11.28,849.4
2023-11-12,34.86,71.9,NW,11.93,27.1,1009.34,73.01,7.02,368.1
2023-01-20,8.09,76.94,SP,1.2,31.72,1006.54,47.76,3.43,860.0
2021-02-07,21.99,83.49,CI,3.86,26.92,1011.55,57.44,7.96,861.4
2021-08-18,21.35,81.63,EC,3.21,28.45,1010.02,74.63,3.03,439.9
2024-10-20,13.04,81.47,EC,103.7,27.37,986.57,90.58,28.54,4264.5
2022-07-17,14.31,75.03,SP,6.15,29.63,1002.03,72.29,12.92,1710.4
2022-03-14,9.53,74.92,WG,2.56,31.69,1011.92,50.28,5.57,1045.5
2024-07-30,13.72,80.83,EC,0.48,31.33,1014.36,58.26,4.1,1048.2
2021-01-27,14.96,82.47,EC,4.26,28.99,1013.31,47.13,5.91,1165.6
2021-08-14,30.64,77.79,NW,10.96,31.82,1002.21,64.57,10.9,2183.7
2024-07-24,8.99,77.05,SP,12.3,31.9,1009.24,64.15,5.32,729.3
2023-03-09,21.25,87.89,EC,7.92,32.4,1014.71,67.12,6.63,684.8
