forecast_id,valid_date,region_id,region_name,latitude,longitude,lead_time_days,rain_forecast,temp_forecast,mslp_forecast,rh_forecast,wind_forecast,cape_forecast,ensemble_spread,synoptic_regime
FC_0000032,2022-04-20,NW,Northwest India,30.62,71.16,3,23.69,37.26,1004.81,16.78,7.35,1642.5,14.43,heat_wave
FC_0000033,2023-12-19,NW,Northwest India,34.79,73.46,8,16.16,4.47,1001.94,64.54,13.65,906.0,14.73,western_disturbance
FC_0000034,2022-05-26,NE,East & Northeast India,23.82,96.37,7,0.0,12.73,1000.91,53.61,3.24,810.3,34.45,pre_monsoon
FC_0000035,2022-12-01,NW,Northwest India,34.99,77.83,7,0.0,22.2,1013.4,79.81,3.29,155.5,11.42,post_monsoon
FC_0000036,2023-09-03,EC,Bay of Bengal & East Coast,18.61,83.4,5,0.0,24.99,1008.5,68.47,1.35,50.0,8.49,normal_monsoon
FC_0000037,2021-07-09,SP,Southern Peninsula,10.25,78.65,1,48.4,21.61,1012.1,72.61,4.42,964.2,9.91,normal_monsoon
FC_0000038,2023-08-16,CI,Central India,25.85,80.27,6,158.93,18.74,995.88,96.44,22.16,2309.5,10.98,monsoon_depression
FC_0000039,2022-11-18,CI,Central India,25.05,77.29,6,26.18,27.34,1012.32,63.55,6.96,1078.1,10.58,post_monsoon
FC_0000040,2023-08-16,SP,Southern Peninsula,11.26,79.98,3,7.06,23.16,1008.42,70.6,6.69,879.9,6.31,normal_monsoon
FC_0000041,2022-07-17,WG,Western Ghats & West Coast,17.08,76.92,5,12.07,22.63,1014.08,68.53,6.96,324.7,8.67,normal_monsoon
FC_0000042,2024-06-21,SP,Southern Peninsula,14.2,77.47,9,0.0,33.87,1004.94,57.36,8.48,1098.8,13.35,normal_monsoon
FC_0000043,2023-04-12,CI,Central India,22.25,83.01,7,12.75,25.31,1010.13,88.14,10.47,813.4,17.16,pre_monsoon
FC_0000044,2024-02-29,NE,East & Northeast India,25.69,88.06,8,10.08,24.96,1013.92,60.59,10.84,1185.7,15.38,fair_weather
FC_0000045,2022-10-09,EC,Bay of Bengal & East Coast,15.79,84.65,9,0.0,15.59,1006.96,50.37,6.68,947.8,34.92,post_monsoon
FC_0000046,2021-01-21,SP,Southern Peninsula,8.77,79.09,6,0.0,16.0,1019.77,70.67,8.03,1567.2,23.56,fair_weather
FC_0000047,2023-04-21,WG,Western Ghats & West Coast,9.31,74.32,5,0.0,22.12,1015.05,62.86,8.38,374.9,12.0,pre_monsoon
FC_0000048,2021-06-16,NE,East & Northeast India,27.84,90.61,10,0.0,25.38,1011.05,74.54,7.68,50.0,16.33,normal_monsoon
FC_0000049,2024-07-21,SP,Southern Peninsula,14.74,76.88,5,10.45,18.81,1008.48,50.88,8.68,418.2,8.53,normal_monsoon
FC_0000050,2022-01-23,NE,East & Northeast India,29.14,87.51,5,1.71,25.6,1009.01,54.96,4.28,1660.5,9.04,fair_weather
FC_0000051,2022-08-24,SP,Southern Peninsula,8.31,79.8,4,1.73,33.5,1001.08,63.83,8.61,2363.7,7.91,active_break_monsoon
FC_0000052,2021-11-12,NE,East & Northeast India,27.39,87.78,2,11.1,20.59,1006.43,66.58,4.99,951.9,5.24,post_monsoon
FC_0000053,2021-01-14,NW,Northwest India,36.8,73.02,7,47.79,10.56,1016.97,70.84,6.67,685.0,14.96,western_disturbance
FC_0000054,2021-08-30,NE,East & Northeast India,29.08,91.06,7,0.0,22.73,1000.21,49.36,6.43,2303.2,11.32,active_break_monsoon
FC_0000055,2023-02-16,NW,Northwest India,30.13,72.49,8,0.0,47.92,1019.42,33.91,4.21,590.1,42.42,fair_weather
FC_0000056,2024-10-01,CI,Central India,20.68,79.34,8,0.0,11.15,1009.33,45.96,13.09,50.0,36.74,post_monsoon
FC_0000057,2022-07-19,NW,Northwest India,29.88,68.37,8,0.0,25.35,1013.35,97.18,2.88,1332.6,12.14,normal_monsoon
FC_0000058,2023-06-17,NE,East & Northeast India,23.21,87.56,9,0.0,39.04,1014.37,40.78,0.5,2367.5,13.56,normal_monsoon
FC_0000059,2024-09-25,EC,Bay of Bengal & East Coast,20.54,85.39,6,0.0,19.07,1008.65,46.79,5.43,985.6,9.36,normal_monsoon
FC_0000060,2021-04-02,EC,Bay of Bengal & East Coast,19.4,88.61,4,0.0,28.12,1013.29,67.49,5.05,1374.7,11.07,pre_monsoon
FC_0000061,2024-10-22,CI,Central India,23.15,83.83,2,4.98,25.69,1009.74,82.99,8.92,843.5,4.76,post_monsoon
FC_0000062,2023-08-14,NE,East & Northeast India,23.65,87.24,5,0.0,17.51,1013.82,56.37,1.05,858.5,23.4,normal_monsoon
FC_0000063,2024-12-22,NW,Northwest India,29.24,72.71,6,15.04,13.8,1004.01,61.45,18.0,377.5,11.8,western_disturbance
FC_0000064,2022-05-24,EC,Bay of Bengal & East Coast,20.85,85.04,7,217.03,23.99,997.11,79.08,12.96,2522.7,30.16,cyclone
FC_0000065,2023-02-15,SP,Southern Peninsula,10.34,79.08,6,9.24,27.38,1007.15,100.0,2.96,716.5,9.54,fair_weather
FC_0000066,2021-02-04,WG,Western Ghats & West Coast,14.07,73.23,4,0.0,32.14,1007.22,66.53,12.32,1464.5,6.99,fair_weather
FC_0000067,2021-07-25,NE,East & Northeast India,25.9,95.94,4,15.56,31.74,1004.74,71.41,9.22,1050.4,8.44,active_break_monsoon
FC_0000068,2024-01-10,SP,Southern Peninsula,14.74,78.23,7,0.0,44.73,1014.65,30.03,7.76,1180.5,31.15,fair_weather
FC_0000069,2024-11-12,SP,Southern Peninsula,11.02,75.48,1,133.21,26.93,969.41,100.0,47.82,3837.1,5.25,cyclone
FC_0000070,2023-10-23,NE,East & Northeast India,24.99,94.02,3,14.0,30.31,1013.63,52.66,5.96,427.7,7.32,post_monsoon
FC_0000071,2023-10-19,WG,Western Ghats & West Coast,12.32,73.56,10,21.46,27.41,1003.54,53.07,1.14,1473.0,14.45,post_monsoon
FC_0000072,2024-11-14,EC,Bay of Bengal & East Coast,21.25,87.39,2,4.13,25.16,1005.96,67.54,3.33,1258.4,6.95,post_monsoon
FC_0000073,2022-07-20,WG,Western Ghats & West Coast,15.66,73.12,2,22.85,32.01,1007.97,70.24,5.78,1043.0,4.49,normal_monsoon
FC_0000074,2024-02-04,CI,Central India,19.16,75.03,7,0.0,41.0,1012.39,86.8,1.8,737.2,36.11,fair_weather
FC_0000075,2022-12-04,NW,Northwest India,32.01,69.16,5,6.86,26.3,1005.29,53.73,5.31,1522.0,9.18,post_monsoon
FC_0000076,2022-02-06,NW,Northwest India,34.95,77.93,3,168.21,19.78,1005.52,62.43,11.47,1033.5,18.39,western_disturbance
FC_0000077,2022-12-31,SP,Southern Peninsula,10.93,77.5,9,5.04,39.71,1012.08,65.13,0.93,50.0,36.02,post_monsoon
FC_0000078,2021-06-11,EC,Bay of Bengal & East Coast,18.83,88.43,9,50.72,20.09,1020.16,56.22,8.99,1757.8,14.07,normal_monsoon
FC_0000079,2021-07-21,WG,Western Ghats & West Coast,18.73,72.76,3,71.48,29.28,1006.23,100.0,3.14,2967.4,19.0,heavy_rainfall
FC_0000080,2023-09-23,SP,Southern Peninsula,9.35,79.15,2,14.93,29.44,1010.21,86.34,11.01,1015.0,5.74,active_break_monsoon
FC_0000081,2021-09-27,NE,East & Northeast India,26.86,86.6,3,23.44,29.12,1006.47,81.44,8.92,1600.3,6.52,active_break_monsoon
FC_0000082,2023-03-27,SP,Southern Peninsula,12.02,79.29,9,172.92,7.33,1011.5,74.64,3.09,1107.9,31.85,fair_weather
FC_0000083,2024-07-18,NE,East & Northeast India,22.86,95.46,8,14.27,32.51,1013.8,60.32,7.46,242.1,13.43,normal_monsoon
FC_0000084,2022-04-01,NE,East & Northeast India,21.45,94.39,3,20.09,31.9,1005.17,70.19,6.96,1272.8,6.82,pre_monsoon
FC_0000085,2024-06-29,CI,Central India,22.93,77.15,4,7.09,21.09,1013.44,80.6,0.5,575.5,7.13,normal_monsoon
FC_0000086,2023-10-14,CI,Central India,23.77,81.82,5,46.62,29.59,1012.13,54.02,2.39,581.4,21.42,post_monsoon
FC_0000087,2021-10-23,NE,East & Northeast India,28.94,89.41,4,12.17,24.78,1012.43,33.16,9.63,568.3,9.63,post_monsoon
FC_0000088,2022-12-21,EC,Bay of Bengal & East Coast,18.55,85.42,2,121.53,27.06,1006.1,89.39,23.84,3601.3,8.87,cyclone
FC_0000089,2021-12-04,CI,Central India,22.2,82.9,9,0.0,3.26,1007.49,77.6,1.62,50.0,39.73,post_monsoon
FC_0000090,2023-05-29,CI,Central India,18.03,76.82,2,5.75,23.67,1007.91,65.24,9.47,1464.5,6.62,pre_monsoon
FC_0000091,2023-12-13,NW,Northwest India,31.0,69.78,5,21.91,22.93,1005.32,39.17,3.16,909.1,8.72,post_monsoon
FC_0000092,2023-03-03,SP,Southern Peninsula,15.26,78.56,9,233.88,23.56,1003.0,17.03,2.55,50.0,41.15,fair_weather
FC_0000093,2021-08-05,NW,Northwest India,30.21,76.15,8,0.0,29.72,1010.11,73.05,10.47,573.4,12.15,normal_monsoon
FC_0000094,2023-02-03,EC,Bay of Bengal & East Coast,15.96,85.03,1,7.52,27.16,1007.55,79.63,6.15,471.3,3.7,fair_weather
FC_0000095,2021-07-07,CI,Central India,18.02,77.66,3,0.0,29.89,1013.88,45.1,2.68,1224.9,6.9,normal_monsoon
FC_0000096,2022-01-15,CI,Central India,19.11,80.9,10,11.83,25.73,1007.43,85.88,7.77,1426.3,14.34,fair_weather
FC_0000097,2022-05-08,WG,Western Ghats & West Coast,13.75,73.86,9,0.0,26.12,1007.56,61.1,3.29,938.0,14.61,pre_monsoon
FC_0000098,2023-12-01,EC,Bay of Bengal & East Coast,16.15,81.89,3,232.22,30.39,973.89,97.49,27.24,3720.2,6.0,cyclone
FC_0000099,2024-03-26,SP,Southern Peninsula,15.4,75.3,4,7.41,25.59,1009.99,45.89,8.81,281.1,10.72,fair_weather
FC_0000100,2021-01-15,SP,Southern Peninsula,14.92,77.81,3,0.0,26.65,1014.17,64.06,7.53,461.3,5.63,fair_weather
FC_0000101,2021-03-06,SP,Southern Peninsula,12.95,76.66,7,0.0,28.01,1014.01,47.01,7.76,1337.8,12.16,fair_weather
FC_0000102,2022-06-05,EC,Bay of Bengal & East Coast,21.63,82.54,9,33.49,58.13,1012.6,50.59,11.06,1503.9,27.26,normal_monsoon
FC_0000103,2024-09-29,WG,Western Ghats & West Coast,15.07,76.97,4,0.0,37.4,1008.18,48.27,1.95,661.6,16.8,normal_monsoon
FC_0000104,2024-02-27,WG,Western Ghats & West Coast,18.57,74.91,9,12.25,18.84,1013.88,25.07,8.18,624.7,13.52,fair_weather
FC_0000105,2022-10-10,NW,Northwest India,36.87,75.01,2,20.53,29.88,1009.7,59.23,7.16,524.8,6.34,post_monsoon
FC_0000106,2023-12-23,EC,Bay of Bengal & East Coast,13.3,83.65,2,19.76,31.08,1004.98,56.27,0.97,1147.5,7.16,post_monsoon
FC_0000107,2024-03-08,EC,Bay of Bengal & East Coast,14.68,83.1,9,113.67,44.4,1016.93,53.29,5.28,1829.3,41.05,fair_weather
FC_0000108,2022-08-16,WG,Western Ghats & West Coast,17.13,75.13,7,16.98,28.47,1002.9,52.15,6.99,73.4,13.28,normal_monsoon
FC_0000109,2022-01-27,NE,East & Northeast India,21.32,95.53,5,23.41,20.88,1014.06,74.67,5.85,617.2,8.83,fair_weather
FC_0000110,2022-02-23,NE,East & Northeast India,23.52,96.96,5,0.0,22.83,1007.14,52.98,5.31,237.3,9.1,fair_weather
FC_0000111,2021-10-16,NW,Northwest India,36.4,77.41,9,6.02,28.02,1006.14,5.0,12.54,340.1,14.44,post_monsoon
FC_0000112,2022-01-14,NE,East & Northeast India,27.89,87.65,4,0.0,24.44,1010.7,66.57,8.09,419.1,10.15,fair_weather
FC_0000113,2021-08-19,NE,East & Northeast India,25.53,87.69,1,0.0,21.96,1012.0,76.69,1.51,286.3,4.38,normal_monsoon
FC_0000114,2023-10-15,NE,East & Northeast India,23.21,92.33,6,16.83,30.4,1012.61,60.96,1.87,1202.6,11.31,post_monsoon
FC_0000115,2021-02-10,CI,Central India,18.33,83.69,3,75.54,20.04,1011.76,51.61,2.66,1552.8,19.69,fair_weather
FC_0000116,2023-11-18,NW,Northwest India,35.94,71.81,2,25.94,33.39,1011.04,53.49,2.86,594.8,4.99,post_monsoon
FC_0000117,2021-05-15,WG,Western Ghats & West Coast,14.19,74.6,4,21.52,21.86,1011.1,77.47,6.4,1111.6,20.86,pre_monsoon
FC_0000118,2021-07-20,NE,East & Northeast India,28.5,93.26,9,0.0,30.44,1006.43,39.9,7.19,365.0,33.64,normal_monsoon
FC_0000119,2023-02-19,SP,Southern Peninsula,10.22,77.46,8,0.0,18.33,1014.84,92.74,0.59,271.7,13.09,fair_weather
FC_0000120,2023-07-19,CI,Central India,21.43,83.59,7,0.0,15.45,1005.12,57.48,6.84,1643.3,27.25,normal_monsoon
FC_0000121,2023-11-23,NE,East & Northeast India,22.49,86.07,2,0.0,29.86,1011.45,62.86,4.16,552.7,6.11,post_monsoon
FC_0000122,2023-12-08,CI,Central India,25.04,82.97,1,0.0,30.25,1010.08,59.12,6.39,1234.8,4.26,post_monsoon
FC_0000123,2022-05-18,NW,Northwest India,35.33,73.11,7,49.34,11.85,1004.89,65.11,6.73,507.4,37.2,pre_monsoon
FC_0000124,2022-02-11,SP,Southern Peninsula,13.28,78.1,10,67.84,19.78,1010.72,38.17,2.59,256.0,28.64,fair_weather
FC_0000125,2023-03-16,SP,Southern Peninsula,8.56,78.28,5,0.0,24.27,1015.06,25.33,10.03,822.4,8.08,fair_weather
FC_0000126,2021-04-09,SP,Southern Peninsula,8.11,76.79,8,0.0,35.61,999.51,74.19,3.58,147.3,24.85,pre_monsoon
FC_0000127,2022-11-15,NE,East & Northeast India,28.92,88.65,5,0.0,27.01,1016.47,46.48,7.05,50.0,9.38,post_monsoon
FC_0000128,2022-12-27,CI,Central India,25.52,76.5,10,3.59,14.35,1019.75,59.5,8.91,997.3,17.99,post_monsoon
FC_0000129,2023-08-19,SP,Southern Peninsula,10.52,78.46,5,2.42,26.17,1007.62,75.33,3.62,907.0,8.19,normal_monsoon
FC_0000130,2022-09-05,EC,Bay of Bengal & East Coast,19.38,84.51,8,18.88,33.17,996.63,76.86,8.6,1891.3,24.55,monsoon_depression
FC_0000131,2022-10-05,EC,Bay of Bengal & East Coast,20.7,80.36,9,22.25,36.23,1000.47,38.32,5.46,751.9,13.24,post_monsoon
FC_0000132,2023-10-26,CI,Central India,25.38,75.96,2,0.5,26.08,1011.96,62.68,5.92,1290.9,4.71,post_monsoon
FC_0000133,2024-05-26,NE,East & Northeast India,28.52,89.81,8,0.0,32.46,1018.87,52.58,9.32,200.0,14.35,pre_monsoon
FC_0000134,2022-05-18,NE,East & Northeast India,28.08,93.06,7,20.17,28.05,1019.65,27.29,7.3,50.0,10.91,pre_monsoon
FC_0000135,2023-02-06,NW,Northwest India,26.29,77.18,8,0.0,26.7,1001.76,54.5,6.18,1575.3,11.63,fair_weather
FC_0000136,2022-02-02,NW,Northwest India,27.19,70.44,3,14.78,25.02,1013.51,55.1,4.45,989.7,19.23,fair_weather
FC_0000137,2023-05-21,SP,Southern Peninsula,14.51,75.58,4,6.26,27.42,1013.27,58.23,5.33,1228.2,8.96,pre_monsoon
FC_0000138,2023-03-06,WG,Western Ghats & West Coast,10.66,74.77,7,30.62,22.06,1010.04,62.33,3.54,356.4,22.03,fair_weather
FC_0000139,2022-01-28,NW,Northwest India,34.8,69.47,5,0.0,28.72,1016.86,64.45,9.25,50.0,9.8,fair_weather
FC_0000140,2021-07-26,NE,East & Northeast India,25.66,93.53,7,5.07,28.41,1012.37,54.52,12.06,105.6,10.7,normal_monsoon
FC_0000141,2023-11-05,WG,Western Ghats & West Coast,18.33,76.71,6,0.0,27.56,1007.56,58.67,3.99,550.8,11.0,post_monsoon
FC_0000142,2023-06-11,NW,Northwest India,34.2,74.53,4,0.0,19.49,1014.29,46.7,5.49,1501.3,17.87,normal_monsoon
FC_0000143,2023-05-14,CI,Central India,21.47,75.12,2,0.0,46.43,1003.99,17.34,7.06,489.8,4.43,heat_wave
FC_0000144,2023-01-13,EC,Bay of Bengal & East Coast,18.81,88.93,6,13.54,33.33,1006.35,50.46,4.4,1123.5,9.31,fair_weather
FC_0000145,2024-06-18,NW,Northwest India,33.58,68.17,6,21.33,31.23,1003.62,79.06,3.41,1055.0,15.18,normal_monsoon
FC_0000146,2022-07-18,NW,Northwest India,30.45,74.15,6,3.76,35.15,1012.92,69.77,13.58,2310.7,12.53,active_break_monsoon
FC_0000147,2023-10-18,CI,Central India,23.52,81.2,1,11.48,31.8,1007.61,71.59,5.52,194.2,4.26,post_monsoon
FC_0000148,2021-04-06,NE,East & Northeast India,25.74,87.68,6,0.0,18.57,1010.71,40.62,1.19,1098.6,9.93,pre_monsoon
FC_0000149,2022-04-30,SP,Southern Peninsula,15.54,78.83,2,22.05,22.08,1011.69,70.88,3.23,1095.8,5.29,pre_monsoon
FC_0000150,2024-12-01,CI,Central India,19.89,77.22,10,0.0,65.92,1023.6,72.12,4.14,1503.1,46.62,post_monsoon
FC_0000151,2021-08-19,SP,Southern Peninsula,15.38,79.88,5,0.0,22.57,1010.82,68.43,4.51,1637.5,9.74,normal_monsoon
FC_0000152,2023-01-19,NW,Northwest India,29.27,68.38,7,22.51,11.85,1006.98,99.22,16.21,50.0,11.72,western_disturbance
FC_0000153,2024-04-09,NE,East & Northeast India,21.41,88.41,10,35.93,42.07,1007.62,92.01,9.33,3270.8,44.35,pre_monsoon
FC_0000154,2022-06-25,WG,Western Ghats & West Coast,15.55,75.13,1,12.29,28.91,1009.3,75.5,6.03,974.7,3.69,normal_monsoon
FC_0000155,2023-11-26,NW,Northwest India,32.24,75.17,5,4.28,18.35,1006.29,88.23,15.54,1724.4,19.69,western_disturbance
FC_0000156,2022-06-09,CI,Central India,18.15,75.05,9,0.0,31.89,1002.45,100.0,14.92,2898.3,42.63,monsoon_depression
FC_0000157,2024-03-29,WG,Western Ghats & West Coast,12.31,73.2,3,3.22,29.67,1012.31,66.5,3.74,50.0,6.43,fair_weather
FC_0000158,2024-06-20,EC,Bay of Bengal & East Coast,11.83,85.77,2,0.0,31.91,1016.75,69.21,4.87,681.0,4.75,normal_monsoon
FC_0000159,2024-01-15,WG,Western Ghats & West Coast,17.78,75.89,10,26.45,29.3,1013.3,68.07,2.35,925.9,17.78,fair_weather
FC_0000160,2022-08-01,CI,Central India,24.54,80.66,2,0.0,28.46,1009.94,57.51,6.27,527.6,11.25,normal_monsoon
FC_0000161,2022-11-13,WG,Western Ghats & West Coast,16.82,73.72,3,16.13,20.8,1010.86,77.8,5.32,789.0,20.2,post_monsoon
FC_0000162,2022-07-11,CI,Central India,25.94,75.83,1,17.99,27.76,989.06,94.02,17.44,3632.7,5.65,monsoon_depression
FC_0000163,2023-10-10,NW,Northwest India,26.79,70.89,2,17.31,30.22,1007.3,66.33,6.35,455.7,4.47,post_monsoon
FC_0000164,2022-10-08,NE,East & Northeast India,29.29,96.86,6,7.73,34.59,1012.25,52.93,3.44,1982.3,17.51,post_monsoon
FC_0000165,2023-03-07,EC,Bay of Bengal & East Coast,19.74,85.66,8,59.14,0.47,1002.58,41.4,2.55,202.2,35.86,fair_weather
FC_0000166,2023-11-18,NE,East & Northeast India,25.42,96.65,4,4.85,26.35,1013.08,46.34,5.75,1194.9,11.68,post_monsoon
FC_0000167,2024-09-25,NE,East & Northeast India,26.91,96.34,2,33.74,27.9,1013.81,61.5,4.02,1262.6,5.04,normal_monsoon
FC_0000168,2024-09-16,NE,East & Northeast India,23.69,89.01,5,0.0,31.73,1003.57,100.0,9.83,1451.9,10.53,active_break_monsoon
FC_0000169,2024-10-03,CI,Central India,24.84,75.5,3,29.38,22.05,1009.52,60.26,6.21,1068.1,6.14,post_monsoon
FC_0000170,2024-06-08,CI,Central India,25.57,79.07,5,0.16,24.42,1006.9,76.99,5.24,161.9,11.46,normal_monsoon
FC_0000171,2021-07-09,EC,Bay of Bengal & East Coast,21.19,83.03,3,112.83,27.07,994.93,100.0,18.0,3456.8,5.75,monsoon_depression
FC_0000172,2024-06-02,CI,Central India,23.73,78.83,4,0.0,31.74,1010.05,80.97,8.36,1678.0,17.52,normal_monsoon
FC_0000173,2024-11-09,SP,Southern Peninsula,13.01,77.77,5,4.58,25.78,1004.9,69.36,5.54,153.4,8.59,post_monsoon
FC_0000174,2024-11-01,CI,Central India,25.74,80.92,7,0.0,20.87,1009.63,68.35,5.93,1961.8,15.86,post_monsoon
FC_0000175,2024-07-30,CI,Central India,20.01,83.1,2,8.01,27.82,1001.52,100.0,8.24,2255.0,9.69,monsoon_depression
FC_0000176,2022-09-25,CI,Central India,20.35,77.72,6,0.0,23.93,1008.09,65.08,7.28,1321.9,10.17,normal_monsoon
FC_0000177,2022-09-20,NW,Northwest India,25.33,77.0,6,4.83,40.23,1010.97,66.03,6.93,1269.1,21.29,normal_monsoon
FC_0000178,2023-08-31,EC,Bay of Bengal & East Coast,14.15,82.33,6,35.04,30.67,997.75,100.0,10.89,2826.9,17.76,monsoon_depression
FC_0000179,2024-07-06,SP,Southern Peninsula,15.36,79.43,7,95.78,26.65,1000.56,71.5,4.37,2532.9,37.58,active_break_monsoon
FC_0000180,2024-10-14,CI,Central India,19.13,81.69,3,4.04,27.62,1012.38,67.7,6.5,687.2,6.67,post_monsoon
FC_0000181,2022-12-11,EC,Bay of Bengal & East Coast,21.04,80.71,5,6.76,29.88,1008.57,81.39,3.14,843.9,9.51,post_monsoon
FC_0000182,2024-12-05,WG,Western Ghats & West Coast,17.9,74.96,9,0.0,11.86,1016.16,33.21,9.12,439.7,46.74,post_monsoon
FC_0000183,2022-10-11,NW,Northwest India,32.7,72.93,9,0.0,32.45,1007.18,30.62,8.47,1717.3,15.15,post_monsoon
FC_0000184,2021-11-14,CI,Central India,23.58,74.34,7,49.69,30.27,1010.19,79.92,7.85,50.0,33.97,post_monsoon
FC_0000185,2024-06-02,SP,Southern Peninsula,14.1,75.18,9,13.98,30.0,1012.18,47.86,3.05,649.6,17.95,normal_monsoon
FC_0000186,2024-06-11,NW,Northwest India,29.92,69.51,3,9.08,27.26,1014.81,60.32,5.54,1375.3,11.01,normal_monsoon
FC_0000187,2022-11-15,SP,Southern Peninsula,14.59,76.73,7,86.44,38.37,1016.79,84.91,12.39,1526.5,35.13,post_monsoon
FC_0000188,2022-10-26,NW,Northwest India,29.9,72.29,1,11.37,23.96,1013.62,64.14,8.98,1069.5,3.54,post_monsoon
FC_0000189,2024-10-29,WG,Western Ghats & West Coast,17.27,74.67,7,24.98,24.51,1007.34,56.39,2.77,50.0,13.15,post_monsoon
FC_0000190,2024-06-10,EC,Bay of Bengal & East Coast,19.68,80.66,3,0.0,32.94,1007.32,56.01,3.54,1079.2,17.0,normal_monsoon
